scorer,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000
bodyparts,earr,earr,earr,earl,earl,earl,eyer,eyer,eyer,eyel,eyel,eyel,nose,nose,nose,throat,throat,throat,elbowr,elbowr,elbowr,elbowl,elbowl,elbowl,handr,handr,handr,handl,handl,handl,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,kneer,kneer,kneer,kneel,kneel,kneel,ankler,ankler,ankler,anklel,anklel,anklel
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,162.45542907714844,112.23629760742188,0.0020575281232595444,162.85665893554688,108.76704406738281,1.0,165.76759338378906,119.75926208496094,0.001047781785018742,156.31556701660156,126.34425354003906,1.0,140.5271453857422,126.61585235595703,1.0,165.33245849609375,139.06427001953125,1.0,188.98587036132812,185.43592834472656,0.9999997615814209,189.81996154785156,184.3124542236328,0.9999979734420776,184.39479064941406,195.97080993652344,0.9999973773956299,186.81639099121094,197.2783203125,0.9999425411224365,234.00535583496094,125.80204772949219,0.9999998807907104,243.4847412109375,148.7492218017578,1.0,226.8779296875,180.26751708984375,1.0,234.14996337890625,179.8224639892578,0.9999998807907104,224.6891326904297,194.91323852539062,0.9999997615814209,229.89210510253906,197.4420166015625,0.9999986886978149
1,162.5498809814453,107.2880859375,0.0021470473147928715,162.55201721191406,107.34870910644531,1.0,165.85971069335938,118.9046630859375,0.0022267415188252926,156.33180236816406,125.1664047241211,1.0,140.4313507080078,126.26834106445312,0.9999998807907104,165.31668090820312,137.87899780273438,1.0,187.89244079589844,183.50904846191406,0.9999995231628418,190.31541442871094,184.04656982421875,0.999998927116394,181.52774047851562,194.46173095703125,0.9999996423721313,190.07789611816406,197.11135864257812,0.9999957084655762,233.45606994628906,124.23035430908203,1.0,242.9969482421875,147.51158142089844,1.0,226.2701416015625,179.4224090576172,1.0,233.77743530273438,178.96092224121094,0.9999998807907104,222.8939971923828,194.24383544921875,0.9999992847442627,230.5251922607422,197.25657653808594,0.999998927116394
2,162.6177215576172,106.58322143554688,0.0024887400213629007,162.3444366455078,106.09233856201172,1.0,166.04986572265625,118.44798278808594,0.003501409897580743,156.4140167236328,123.69820404052734,1.0,140.0113983154297,125.70411682128906,0.9999998807907104,165.45452880859375,137.25970458984375,1.0,186.36593627929688,181.6650390625,0.9999998807907104,189.94134521484375,184.97689819335938,0.9999996423721313,178.4486846923828,193.54771423339844,0.9999998807907104,189.11883544921875,197.7045135498047,0.9999996423721313,233.12503051757812,122.76251220703125,1.0,242.37124633789062,146.36122131347656,1.0,225.40211486816406,179.3665313720703,1.0,232.849365234375,178.74757385253906,0.9999998807907104,220.44497680664062,194.65232849121094,0.9999994039535522,231.2041778564453,198.81143188476562,0.999998927116394
3,162.20687866210938,112.51124572753906,0.0026449880097061396,162.69931030273438,109.1976089477539,1.0,165.37745666503906,120.79212951660156,0.0008453517220914364,156.17758178710938,127.94198608398438,1.0,139.7991485595703,128.080078125,1.0,164.3687286376953,140.06930541992188,1.0,186.28810119628906,185.0067901611328,0.9999991655349731,191.5933380126953,186.86619567871094,0.9999920129776001,179.40347290039062,194.6079559326172,1.0,190.1384735107422,196.9524688720703,0.9999821186065674,232.97740173339844,126.25628662109375,1.0,242.52920532226562,147.8518829345703,1.0,226.19696044921875,180.6858367919922,1.0,232.95947265625,179.53269958496094,0.9999997615814209,221.58294677734375,194.42041015625,0.9999992847442627,231.71372985839844,198.04080200195312,0.9999979734420776
4,162.26834106445312,113.42316436767578,0.003048594342544675,162.08645629882812,111.51851654052734,1.0,156.6878204345703,127.60064697265625,0.0006212403532117605,155.74415588378906,130.67161560058594,1.0,139.6090850830078,130.4241180419922,1.0,164.07098388671875,142.5242919921875,1.0,186.46389770507812,187.3977508544922,0.999998927116394,191.11741638183594,188.1083984375,0.9999531507492065,179.5133514404297,196.2197265625,1.0,191.1811065673828,197.7577362060547,0.9998745918273926,233.03323364257812,128.86337280273438,0.9999998807907104,242.7315673828125,147.67388916015625,1.0,226.02415466308594,181.78952026367188,1.0,233.55795288085938,181.205078125,0.9999996423721313,223.7807159423828,195.59339904785156,0.9999991655349731,230.89572143554688,198.31756591796875,0.9999988079071045
5,161.92149353027344,114.04164123535156,0.0027116667479276657,160.72064208984375,112.81476593017578,1.0,156.4664764404297,128.17686462402344,0.0012508126674219966,156.5718536376953,129.80140686035156,1.0,138.79566955566406,131.4007110595703,1.0,162.90432739257812,143.87879943847656,1.0,186.13385009765625,187.98435974121094,0.999997615814209,191.3276824951172,187.19361877441406,0.9999041557312012,179.29209899902344,196.142822265625,0.9999998807907104,191.259765625,197.91749572753906,0.9995970129966736,231.7294464111328,129.93463134765625,0.9999998807907104,242.6732177734375,146.60986328125,1.0,225.02178955078125,182.98443603515625,0.9999998807907104,232.3732147216797,182.19129943847656,0.9999996423721313,223.60841369628906,197.14634704589844,0.9999984502792358,229.5281524658203,199.7719268798828,0.9999984502792358
6,161.71055603027344,114.27172088623047,0.0022954687010496855,160.14324951171875,113.68704986572266,1.0,156.08802795410156,128.59616088867188,0.0018892751540988684,155.9597625732422,131.05789184570312,1.0,137.8546142578125,133.43870544433594,1.0,162.42730712890625,144.85995483398438,1.0,186.27696228027344,188.700439453125,0.9999951124191284,190.11782836914062,188.08184814453125,0.9998387098312378,179.5028076171875,196.51104736328125,0.9999996423721313,191.159423828125,197.66233825683594,0.998818576335907,230.79971313476562,130.30007934570312,1.0,242.1759796142578,146.21029663085938,1.0,225.41241455078125,182.6752471923828,0.9999998807907104,231.3827362060547,181.99435424804688,0.9999997615814209,223.830810546875,196.67530822753906,0.9999983310699463,227.55235290527344,198.456298828125,0.9999980926513672
7,161.6470184326172,115.28473663330078,0.0011946510057896376,158.2056427001953,112.49446868896484,1.0,156.00157165527344,129.01585388183594,0.001077492837794125,154.63613891601562,131.476318359375,1.0,136.6148681640625,134.20138549804688,1.0,160.96771240234375,144.89645385742188,1.0,185.36843872070312,187.85797119140625,0.9999922513961792,189.1939697265625,187.18553161621094,0.9999446868896484,178.89263916015625,195.44879150390625,0.999998927116394,190.142578125,197.01614379882812,0.9991160035133362,230.1880340576172,130.08277893066406,1.0,241.72312927246094,145.97531127929688,1.0,223.78309631347656,181.6826934814453,0.9999998807907104,229.9047393798828,181.23165893554688,0.9999998807907104,220.4173583984375,194.5999298095703,0.9999986886978149,226.017333984375,196.956298828125,0.9999983310699463
