,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,3000,95,3,80.48,94.0,0.6,9.3,9.54
1,6000,95,3,33.0,125.94,0.6,13.77,18.57
2,9000,95,3,7.51,50.8,0.6,7.57,14.79
3,12000,95,3,7.83,59.12,0.6,7.85,15.06
4,15000,95,3,7.87,51.76,0.6,7.87,10.85
5,18000,95,3,7.24,67.04,0.6,7.25,10.71
6,21000,95,3,7.78,62.53,0.6,7.77,11.98
7,24000,95,3,7.76,60.85,0.6,7.75,12.03
8,27000,95,3,7.37,68.13,0.6,7.37,11.19
9,30000,95,3,7.47,60.67,0.6,7.47,11.82
10,33000,95,3,7.57,64.45,0.6,7.57,11.41
11,36000,95,3,7.56,61.95,0.6,7.56,11.92
12,39000,95,3,7.54,62.03,0.6,7.54,11.99
13,42000,95,3,7.58,64.79,0.6,7.58,11.99
14,45000,95,3,7.69,61.2,0.6,7.69,12.13
15,48000,95,3,7.58,61.1,0.6,7.58,12.03
16,51000,95,3,7.62,64.87,0.6,7.62,12.09
17,3000,95,2,313.55,309.58,0.6,9.34,14.06
18,6000,95,2,174.61,207.41,0.6,21.66,38.67
19,9000,95,2,168.93,173.12,0.6,16.73,64.8
20,12000,95,2,134.69,132.91,0.6,15.58,7.57
21,15000,95,2,170.09,234.39,0.6,82.51,23.86
22,18000,95,2,98.46,139.12,0.6,37.86,5.8
23,21000,95,2,106.99,144.01,0.6,19.63,17.34
24,24000,95,2,126.05,192.46,0.6,29.71,58.05
25,27000,95,2,98.79,120.1,0.6,36.7,55.71
26,30000,95,2,94.39,102.29,0.6,34.61,17.0
27,33000,95,2,99.51,125.64,0.6,37.18,17.16
28,36000,95,2,100.84,143.71,0.6,38.24,17.17
29,39000,95,2,100.06,142.9,0.6,37.47,17.21
30,42000,95,2,97.49,124.82,0.6,41.05,17.27
31,45000,95,2,96.85,131.88,0.6,33.03,17.11
32,48000,95,2,97.46,142.14,0.6,48.34,55.99
33,51000,95,2,99.13,142.14,0.6,40.78,55.93
34,3000,95,1,254.34,280.31,0.6,4.33,
35,6000,95,1,165.9,182.54,0.6,5.98,4.46
36,9000,95,1,114.48,96.17,0.6,4.69,3.81
37,12000,95,1,100.28,120.27,0.6,4.95,4.29
38,15000,95,1,54.62,79.87,0.6,6.92,4.57
39,18000,95,1,46.22,79.35,0.6,7.19,3.97
40,21000,95,1,40.52,68.52,0.6,9.39,4.12
41,24000,95,1,33.19,62.15,0.6,8.47,23.79
42,27000,95,1,28.25,54.07,0.6,9.28,23.42
43,30000,95,1,25.95,60.42,0.6,8.22,23.45
44,33000,95,1,26.02,51.65,0.6,9.83,23.35
45,36000,95,1,26.24,54.0,0.6,10.87,23.34
46,39000,95,1,24.39,46.2,0.6,10.96,23.36
47,42000,95,1,21.91,53.78,0.6,13.15,23.35
48,45000,95,1,22.31,41.62,0.6,11.94,23.16
49,48000,95,1,21.26,51.71,0.6,12.74,22.8
50,51000,95,1,19.12,37.4,0.6,11.59,22.84
51,3000,95,0,364.8,363.7,0.6,,
52,6000,95,0,364.28,370.19,0.6,,
53,9000,95,0,319.54,325.47,0.6,,
54,12000,95,0,300.43,297.47,0.6,,
55,15000,95,0,275.15,294.72,0.6,4.59,3.71
56,18000,95,0,301.38,352.69,0.6,5.12,5.92
57,21000,95,0,260.03,303.67,0.6,4.74,5.82
58,30000,95,0,234.16,240.18,0.6,4.67,5.3
59,33000,95,0,243.64,255.84,0.6,4.54,4.98
60,36000,95,0,232.35,227.48,0.6,4.62,4.97
61,39000,95,0,241.04,269.68,0.6,13.29,93.73
62,42000,95,0,238.2,260.96,0.6,4.18,5.11
63,45000,95,0,238.81,219.82,0.6,4.12,5.1
64,48000,95,0,246.59,236.52,0.6,3.91,83.62
65,51000,95,0,233.58,227.0,0.6,4.19,4.46
