,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,3000,95,0,364.8,363.7,0.6,,
1,6000,95,0,364.28,370.19,0.6,,
2,9000,95,0,319.54,325.47,0.6,,
3,12000,95,0,300.43,297.47,0.6,,
4,15000,95,0,275.15,294.72,0.6,4.59,3.71
5,18000,95,0,301.38,352.69,0.6,5.12,5.92
6,21000,95,0,260.03,303.67,0.6,4.74,5.82
7,30000,95,0,234.16,240.18,0.6,4.67,5.3
8,33000,95,0,243.64,255.84,0.6,4.54,4.98
9,36000,95,0,232.35,227.48,0.6,4.62,4.97
10,39000,95,0,241.04,269.68,0.6,13.29,93.73
11,42000,95,0,238.2,260.96,0.6,4.18,5.11
12,45000,95,0,238.81,219.82,0.6,4.12,5.1
13,48000,95,0,246.59,236.52,0.6,3.91,83.62
14,51000,95,0,233.58,227.0,0.6,4.19,4.46
