scorer,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila
bodyparts,earr,earr,earl,earl,eyer,eyer,eyel,eyel,nose,nose,throat,throat,elbowr,elbowr,elbowl,elbowl,handr,handr,handl,handl,tailbase,tailbase,tailtip,tailtip,kneer,kneer,kneel,kneel,ankler,ankler,anklel,anklel
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/p2/img015.png,755.1116943359375,344.66094970703125,1076.56396484375,407.3307800292969,882.2537231445312,453.2231140136719,1009.9010620117188,488.64874267578125,952.282470703125,544.6123657226562,,,841.4974365234375,693.645751953125,893.9203394153058,672.3949699884841,925.1499633789062,907.1427001953125,,,454.40216064453125,489.493896484375,228.8535035512548,694.0879184874885,454.1875,678.9690551757812,,,559.495849609375,896.7303466796875,,
labeled-data/p2/img032.png,773.5735895328611,335.7530848266615,1071.8774350018628,426.98690698041105,866.8576099372567,473.11636761994737,990.8946041013431,512.0701343822225,928.3635574566384,563.3250906483739,,,828.9289423003047,652.5087145514774,,,940.6647469605149,834.9763588589767,911.96197145147,854.4532422401142,452.71756330675294,483.36735887317764,184.1415924721194,717.0899594468283,452.71756330675294,670.960498807292,,,560.3529714656711,888.2815133757741,,
labeled-data/p2/img075.png,779.6155665891172,389.24878998629174,1107.3375750424534,335.3766790076612,933.3755500072921,416.18484547560706,1068.0558274538687,392.6157969224562,1056.8324709999872,448.7325791918631,904.1948232272005,587.9021992199921,871.6470895109444,646.2636527801753,918.7851866172464,654.1200022978923,927.7638717803513,862.8744323400858,,,455.26056507194545,477.9133059719546,164.57563291641776,765.2312311913179,463.1169145896624,686.6677360141482,,,560.7601157384304,888.688152184013,,
labeled-data/p2/img081.png,850.025390625,384.0461120605469,1171.0491943359375,382.53302001953125,1008.4892578125,494.1009826660156,1142.9541015625,490.3902893066406,1109.1170654296875,542.8890380859375,,,941.017373821353,622.8980960604455,,,1111.830078125,770.1271362304688,910.6084594726562,862.266357421875,477.19305419921875,470.2949523925781,177.42402595575822,810.5042004651178,476.7414245605469,705.6370239257812,,,559.3466186523438,895.0255126953125,,
labeled-data/p2/img086.png,947.5227000566864,395.17924757242747,1251.0468595301397,392.9309204652167,1086.918980703754,531.2030375586787,1220.6944435827943,527.8305468978625,1190.342027635449,591.9078694533694,,,1028.4624759162741,642.4952293656115,,,1218.4461164755837,812.2439259600242,912.6736298949195,854.9621409970287,546.196311419565,425.5316635197728,265.1554230182194,851.5896503362126,495.6089515073228,654.8610284552706,,,558.5989404657096,887.8366951030691,,
labeled-data/p2/img091.png,1026.1199951171875,410.0583801269531,1347.9959716796875,403.15643310546875,1169.831787109375,556.208251953125,1314.052001953125,556.1945190429688,1269.8588867187502,612.2859514936335,,,1105.9603271484375,660.205322265625,,,1229.1317138671875,861.024658203125,917.3389282226562,863.0131225585938,602.5264892578125,431.66302490234375,294.45892937317103,808.5662111700419,535.0470581054688,666.1823120117188,,,561.4971923828125,897.5973510742188,783.6890577470706,782.7064630537446
labeled-data/p2/img098.png,1124.6925048828125,392.69659423828125,1479.161376953125,390.3589782714844,1284.808349609375,546.7975463867188,1433.0322265625,556.7234497070312,1380.751953125,621.2306518554688,1192.545654296875,629.4522705078125,1141.9212646484375,645.961669921875,,,1208.0478515625,864.8010864257812,,,707.8301391601562,425.82037353515625,135.9630889892578,560.4835815429688,600.4059448242188,638.0665283203125,773.40380859375,689.46484375,555.2977905273438,898.3154296875,947.3897227516488,850.6694353803523
labeled-data/p2/img104.png,1180.8095207697338,379.60194773612545,1544.150634765625,378.87994384765625,1343.6490478515625,541.5374145507812,1494.2186279296875,547.1790771484375,1441.7459716796875,610.655029296875,1240.25634765625,612.7849731445312,1168.762939453125,645.7699584960938,,,1165.0850830078125,862.6675415039062,1521.0300237456465,862.8476792347807,751.1761474609375,407.4781799316406,247.39280454139544,327.86423226834074,684.7094116210938,605.5360107421875,802.1902148556605,651.4824366995454,596.963134765625,826.9478759765625,919.6707153320312,855.6709594726562
labeled-data/p2/img110.png,1187.788330078125,385.4919738769531,1581.7938232421875,370.8210754394531,1367.7889404296875,535.0474853515625,1526.038818359375,529.8851318359375,1469.2294921875,605.271728515625,1287.377197265625,615.535888671875,1174.4403076171875,670.6885375976562,,,,,1456.5849609375,867.8458251953125,799.8490600585938,394.75848388671875,350.46997089454675,504.95044452225454,797.9716306268331,619.4080123413951,,,930.7636108398438,851.109619140625,,
