2021-09-18 22:48:38,804 INFO Shuffle index:0, net_type:resnet_50, augmenter_type:tensorpack, trainsetindex:0
2021-09-18 22:48:39,398 INFO Shuffle index:1, net_type:resnet_50, augmenter_type:default, trainsetindex:0
2021-09-18 22:48:40,636 INFO Shuffle index:2, net_type:efficientnet-b0, augmenter_type:tensorpack, trainsetindex:0
2021-09-18 22:48:41,017 INFO Shuffle index:3, net_type:efficientnet-b0, augmenter_type:default, trainsetindex:0
2021-09-18 22:48:42,563 INFO Shuffle index:4, net_type:resnet_50, augmenter_type:tensorpack, trainsetindex:0
2021-09-18 22:48:42,905 INFO Shuffle index:5, net_type:resnet_50, augmenter_type:default, trainsetindex:0
2021-09-18 22:48:43,250 INFO Shuffle index:6, net_type:efficientnet-b0, augmenter_type:tensorpack, trainsetindex:0
2021-09-18 22:48:43,740 INFO Shuffle index:7, net_type:efficientnet-b0, augmenter_type:default, trainsetindex:0
2021-09-18 22:48:44,140 INFO Shuffle index:8, net_type:resnet_50, augmenter_type:tensorpack, trainsetindex:0
2021-09-18 22:48:44,490 INFO Shuffle index:9, net_type:resnet_50, augmenter_type:default, trainsetindex:0
2021-09-18 22:48:44,987 INFO Shuffle index:10, net_type:efficientnet-b0, augmenter_type:tensorpack, trainsetindex:0
2021-09-18 22:48:45,336 INFO Shuffle index:11, net_type:efficientnet-b0, augmenter_type:default, trainsetindex:0
2021-09-18 22:48:45,761 INFO Shuffle index:12, net_type:resnet_50, augmenter_type:tensorpack, trainsetindex:0
2021-09-18 22:48:46,217 INFO Shuffle index:13, net_type:resnet_50, augmenter_type:default, trainsetindex:0
2021-09-18 22:48:46,565 INFO Shuffle index:14, net_type:efficientnet-b0, augmenter_type:tensorpack, trainsetindex:0
2021-09-18 22:48:46,942 INFO Shuffle index:15, net_type:efficientnet-b0, augmenter_type:default, trainsetindex:0
2021-09-18 22:49:30,931 INFO Shuffle index:0, net_type:resnet_50, augmenter_type:tensorpack, trainsetindex:0
2021-09-18 22:49:31,292 INFO Shuffle index:1, net_type:resnet_50, augmenter_type:default, trainsetindex:0
2021-09-18 22:49:31,792 INFO Shuffle index:2, net_type:efficientnet-b0, augmenter_type:tensorpack, trainsetindex:0
2021-09-18 22:49:32,164 INFO Shuffle index:3, net_type:efficientnet-b0, augmenter_type:default, trainsetindex:0
