,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,3000,95,0,34.73,26.14,0.6,20.98,9.82
1,6000,95,0,10.35,18.75,0.6,8.68,9.24
2,9000,95,0,8.3,22.51,0.6,8.3,9.7
3,12000,95,0,7.53,10.35,0.6,7.53,9.01
4,15000,95,0,7.79,10.03,0.6,7.79,9.57
5,18000,95,0,7.61,10.13,0.6,7.61,8.97
6,21000,95,0,7.66,10.41,0.6,7.66,8.61
7,24000,95,0,7.65,10.17,0.6,7.65,10.17
8,27000,95,0,7.66,9.09,0.6,7.66,9.15
9,30000,95,0,7.55,10.16,0.6,7.55,10.16
10,33000,95,0,7.59,10.24,0.6,7.59,10.24
11,36000,95,0,7.5,10.17,0.6,7.5,10.17
12,39000,95,0,7.61,10.28,0.6,7.61,10.28
13,42000,95,0,7.54,10.2,0.6,7.54,10.2
14,45000,95,0,7.58,10.24,0.6,7.58,10.24
15,48000,95,0,7.44,10.07,0.6,7.44,10.07
16,51000,95,0,7.6,10.24,0.6,7.6,10.24
17,54000,95,0,7.56,10.22,0.6,7.56,10.22
18,57000,95,0,7.68,10.28,0.6,7.68,10.28
19,60000,95,0,7.58,10.23,0.6,7.58,10.23
20,63000,95,0,7.55,10.27,0.6,7.55,10.27
21,66000,95,0,7.43,10.13,0.6,7.43,10.13
22,69000,95,0,7.58,10.23,0.6,7.58,10.23
23,72000,95,0,7.65,10.26,0.6,7.65,10.26
24,75000,95,0,7.42,10.08,0.6,7.42,10.08
25,78000,95,0,7.52,10.12,0.6,7.52,10.12
26,81000,95,0,7.46,10.1,0.6,7.46,10.1
27,84000,95,0,7.64,10.28,0.6,7.64,10.28
28,87000,95,0,7.57,10.18,0.6,7.57,10.18
29,90000,95,0,7.51,10.01,0.6,7.51,10.01
30,93000,95,0,7.52,10.07,0.6,7.52,10.07
31,96000,95,0,7.61,10.18,0.6,7.61,10.18
32,99000,95,0,7.57,10.14,0.6,7.57,10.14
33,102000,95,0,7.57,10.12,0.6,7.57,10.12
34,105000,95,0,7.61,10.24,0.6,7.61,10.24
35,108000,95,0,7.62,10.18,0.6,7.62,10.18
36,111000,95,0,7.62,10.17,0.6,7.62,10.17
37,114000,95,0,7.46,10.03,0.6,7.46,10.03
38,117000,95,0,7.66,10.2,0.6,7.66,10.2
39,120000,95,0,7.69,10.23,0.6,7.69,10.23
40,123000,95,0,7.51,10.12,0.6,7.51,10.12
41,126000,95,0,7.49,10.07,0.6,7.49,10.07
42,129000,95,0,7.56,10.11,0.6,7.56,10.11
43,132000,95,0,7.5,10.05,0.6,7.5,10.05
44,135000,95,0,7.59,10.2,0.6,7.59,10.2
45,138000,95,0,7.56,10.14,0.6,7.56,10.14
46,141000,95,0,7.6,10.18,0.6,7.6,10.18
47,144000,95,0,7.57,10.16,0.6,7.57,10.16
48,147000,95,0,7.52,10.13,0.6,7.52,10.13
49,150000,95,0,7.53,10.11,0.6,7.53,10.11
