scorer,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000
bodyparts,earr,earr,earr,earl,earl,earl,eyer,eyer,eyer,eyel,eyel,eyel,nose,nose,nose,throat,throat,throat,elbowr,elbowr,elbowr,elbowl,elbowl,elbowl,handr,handr,handr,handl,handl,handl,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,kneer,kneer,kneer,kneel,kneel,kneel,ankler,ankler,ankler,anklel,anklel,anklel
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,756.3983154296875,342.8531188964844,0.9999998807907104,1077.0413818359375,409.18951416015625,0.9999996423721313,887.6547241210938,462.5336608886719,0.9999977350234985,1001.9126586914062,498.244873046875,0.9999995231628418,951.826416015625,544.5482788085938,0.9999996423721313,769.691162109375,721.3619384765625,0.0004547966818790883,768.7333984375,719.501220703125,0.9999860525131226,863.4536743164062,683.7167358398438,0.9994707703590393,863.7031860351562,828.1657104492188,0.999956488609314,862.1177978515625,684.33642578125,0.0011901032412424684,453.6981506347656,493.95281982421875,0.999996542930603,223.97618103027344,700.9637451171875,0.9999822378158569,453.71282958984375,754.3458862304688,0.9999991655349731,858.3728637695312,683.9901733398438,0.0012829016195610166,482.31011962890625,886.2689208984375,0.9999986886978149,858.4175415039062,682.2511596679688,0.004657375160604715
1,756.3897094726562,342.84613037109375,0.9999998807907104,1077.0762939453125,408.8316345214844,0.9999997615814209,886.5618896484375,464.8749694824219,0.9999978542327881,1002.741943359375,496.58612060546875,0.9999994039535522,951.8446044921875,544.4299926757812,0.9999996423721313,769.638427734375,721.4287719726562,0.00045309046981856227,768.6041259765625,719.6263427734375,0.9999860525131226,863.4144897460938,683.7484741210938,0.9994613528251648,863.8927001953125,828.0509643554688,0.9999599456787109,862.098388671875,684.3533325195312,0.0011690646642819047,453.6859130859375,493.93023681640625,0.999996542930603,223.84115600585938,701.0487670898438,0.9999818801879883,453.7247009277344,754.2923583984375,0.9999991655349731,858.4375610351562,684.0159301757812,0.0013055906165391207,482.2954406738281,886.3043823242188,0.9999986886978149,858.4515991210938,682.263671875,0.00455041229724884
2,756.3896484375,342.8507385253906,0.9999998807907104,1077.07275390625,408.8360290527344,0.9999997615814209,886.5191650390625,465.1169738769531,0.9999979734420776,1002.7828369140625,496.55999755859375,0.9999994039535522,951.8556518554688,544.4376220703125,0.9999996423721313,769.6277465820312,721.4666748046875,0.0004542355891317129,768.5693969726562,719.71044921875,0.9999864101409912,863.4077758789062,683.748291015625,0.9994638562202454,863.8865356445312,828.0549926757812,0.9999597072601318,862.088623046875,684.3528442382812,0.0011677024886012077,453.6737976074219,493.93243408203125,0.999996542930603,223.8368682861328,701.03125,0.9999821186065674,453.7362976074219,754.2872924804688,0.9999991655349731,858.4365844726562,684.013916015625,0.0013165597338229418,482.3054504394531,886.2374267578125,0.9999988079071045,858.450927734375,682.2608032226562,0.004557322710752487
3,756.392578125,342.8562316894531,0.9999998807907104,1077.2015380859375,408.5508117675781,0.9999997615814209,883.404052734375,456.3405456542969,0.9999980926513672,1006.552978515625,492.22491455078125,0.9999980926513672,952.1791381835938,544.5791625976562,0.9999995231628418,769.6017456054688,721.4633178710938,0.00046980089973658323,768.5480346679688,719.6781005859375,0.9999864101409912,863.3953857421875,683.7307739257812,0.9994708895683289,863.8809204101562,828.0809326171875,0.9999592304229736,862.0648803710938,684.320556640625,0.0011793778976425529,453.78509521484375,493.8702087402344,0.999996542930603,223.82632446289062,701.0260009765625,0.9999822378158569,453.7237854003906,754.3109741210938,0.9999991655349731,858.42626953125,684.0111083984375,0.0013153508771210909,482.3144836425781,886.22705078125,0.9999988079071045,858.4441528320312,682.2678833007812,0.004637536592781544
4,756.3987426757812,342.85382080078125,0.9999998807907104,1077.1708984375,408.5643615722656,0.9999997615814209,883.335205078125,456.35089111328125,0.9999979734420776,1006.5850219726562,492.1871643066406,0.9999979734420776,952.1749267578125,544.574951171875,0.9999995231628418,769.5607299804688,721.4461669921875,0.00046523878700099885,768.4960327148438,719.6171875,0.9999854564666748,863.3989868164062,683.728515625,0.9994743466377258,863.8975830078125,828.0595703125,0.9999610185623169,862.0657348632812,684.3067626953125,0.001177059137262404,453.8018493652344,493.876220703125,0.999996542930603,223.85690307617188,701.0927734375,0.9999833106994629,453.6964416503906,754.51611328125,0.9999992847442627,858.4066162109375,684.0120239257812,0.0013017841847613454,482.3458557128906,886.401123046875,0.9999986886978149,858.4337158203125,682.2811889648438,0.004648640751838684
5,756.3998413085938,342.8359375,0.9999998807907104,1077.1219482421875,408.7369384765625,0.9999997615814209,886.0643310546875,464.1100158691406,0.9999986886978149,1004.40380859375,497.7771301269531,0.9999997615814209,951.96875,544.5035400390625,0.9999996423721313,1012.2727661132812,490.12811279296875,0.0009708673460409045,768.4951171875,719.4417114257812,0.999983549118042,863.5618286132812,683.34912109375,0.9994564652442932,863.9078369140625,828.0554809570312,0.9999617338180542,862.1534423828125,684.2515869140625,0.0009973186533898115,453.76165771484375,493.89404296875,0.999996542930603,223.86624145507812,701.0277099609375,0.9999834299087524,453.6769714355469,754.513427734375,0.9999992847442627,858.2967529296875,683.6539306640625,0.001342414878308773,482.34332275390625,886.4082641601562,0.9999986886978149,858.3862915039062,681.906005859375,0.003812881652265787
6,756.391357421875,342.8374938964844,0.9999998807907104,1077.117431640625,408.7437438964844,0.9999997615814209,886.109375,464.0511169433594,0.9999985694885254,1004.3966064453125,497.85955810546875,0.9999997615814209,951.970703125,544.5039672851562,0.9999996423721313,1012.2763671875,490.1396484375,0.0010442850179970264,768.4957885742188,719.4345703125,0.999983549118042,863.5619506835938,683.3494873046875,0.9994567036628723,863.9076538085938,828.0555419921875,0.9999617338180542,862.1531372070312,684.2521362304688,0.000997097697108984,453.76092529296875,493.8977355957031,0.999996542930603,223.86050415039062,701.0326538085938,0.9999834299087524,453.6730651855469,754.510986328125,0.9999992847442627,858.296875,683.6541137695312,0.0013435980072245002,482.34234619140625,886.4063110351562,0.9999986886978149,858.3864135742188,681.9059448242188,0.0038122734986245632
7,756.3858642578125,342.83050537109375,0.9999998807907104,1076.6304931640625,409.5360107421875,0.9999996423721313,886.8617553710938,463.0383605957031,0.9999983310699463,1001.6714477539062,497.0256042480469,0.9999984502792358,951.8107299804688,544.468994140625,0.9999996423721313,769.5408935546875,721.3355712890625,0.00044964838889427483,768.5216674804688,719.3485107421875,0.9999828338623047,863.564697265625,683.3419799804688,0.9994482398033142,863.8955688476562,828.0642700195312,0.9999613761901855,862.1583251953125,684.2463989257812,0.000988136394880712,453.48199462890625,494.07110595703125,0.9999964237213135,223.8474578857422,701.0293579101562,0.9999833106994629,453.6722106933594,754.5281372070312,0.9999992847442627,858.2940063476562,683.660888671875,0.0013210311299189925,482.33795166015625,886.4063110351562,0.9999986886978149,858.3843994140625,681.9161987304688,0.0037819419521838427
