joint,parent,offset.x,offset.y,offset.z
throat,,0,0,0
eyer,throat,73.2979736328125,-167.44375610351562,0.0
earr,eyer,-146.09173583984375,-101.35906982421875,0.0
eyel,eyer,143.1766357421875,11.8460693359375,0.0
earl,eyel,72.5869140625,-97.45596313476562,0.0
nose,eyel,-47.7086181640625,55.651275634765625,0.0
elbowr,throat,-131.043701171875,70.7347412109375,0.0
handr,elbowr,46.72833251953125,210.5804443359375,0.0
elbowl,throat,0.7445068359375,39.72882080078125,0.0
handl,elbowl,-36.1700439453125,120.352294921875,0.0
tailbase,throat,-430.4661865234375,-217.32894897460938,0.0
tailtip,tailbase,-223.5902099609375,473.1068420410156,0.0
kneer,tailbase,-74.12753295898438,302.4579162597656,0.0
ankler,kneer,-4.58837890625,167.23046875,0.0
kneel,tailbase,145.108154296875,361.7289733886719,0.0
anklel,kneel,91.29876708984375,102.74468994140625,0.0
